Script Name,Category,Ports Related To,One Line Description
coap-resources,Information Gathering,5683 (CoAP),Enumerates resources on a CoAP (Constrained Application Protocol) server.
couchdb-databases,Information Gathering,5984 (CouchDB),Enumerates the available databases on a CouchDB server.
couchdb-stats,Information Gathering,5984 (CouchDB),Retrieves statistics about a CouchDB server’s performance and health.
creds-summary,Information Gathering,Varies (common ports),Summarizes credentials information gathered from various services.
cups-info,Information Gathering,631 (CUPS),Retrieves information about a CUPS (Common Unix Printing System) server.
cups-queue-info,Information Gathering,631 (CUPS),Retrieves information about print queues on a CUPS server.
cvs-brute,Brute Force,2401 (CVS),Performs a brute force attack on a CVS (Concurrent Versions System) repository.
cvs-brute-repository,Brute Force,2401 (CVS),Brute forces authentication on a specific CVS repository.
daap-get-library,Information Gathering,3689 (DAAP),Retrieves the media library from a DAAP (Digital Audio Access Protocol) server.
daytime,Information Gathering,13 (Daytime),Retrieves the current date and time from a Daytime protocol server.
db2-das-info,Information Gathering,523 (DB2),Retrieves information about a DB2 (IBM Database) DAS (Database Application Server).
deluge-rpc-brute,Brute Force,58846 (Deluge),Performs a brute force attack on Deluge’s RPC (Remote Procedure Call) service.
dhcp-discover,Information Gathering,67-68 (DHCP),Sends a DHCP Discover request to find available DHCP servers on the network.
dicom-brute,Brute Force,104 (DICOM),Performs a brute force attack on DICOM (Digital Imaging and Communications in Medicine) servers.
dicom-ping,Information Gathering,104 (DICOM),Sends a ping request to a DICOM server to check its availability.
dict-info,Information Gathering,2628 (DICT),Retrieves information from a DICT (Dictionary Server) service.
distcc-cve2004-2687,Vulnerability,3632 (DistCC),Exploits a vulnerability (CVE-2004-2687) in the DistCC service to execute arbitrary commands.
dns-blacklist,Information Gathering,53 (DNS),Checks if a domain is listed on a known DNS blacklist.
dns-brute,Brute Force,53 (DNS),Performs a brute force attack on DNS server to enumerate domain names or subdomains.
dns-cache-snoop,Information Gathering,53 (DNS),Attempts to snoop on the DNS server cache to reveal cached records.
dns-check-zone,Information Gathering,53 (DNS),Checks the validity and integrity of a DNS zone.
dns-client-subnet-scan,Information Gathering,53 (DNS),Attempts to determine the client's subnet via DNS queries.
dns-fuzz,Fuzzing,53 (DNS),Fuzzes DNS server responses to identify vulnerabilities.
dns-ip6-arpa-scan,Information Gathering,53 (DNS),Scans for IPv6 reverse DNS records (in-addr.arpa).
dns-nsec-enum,Information Gathering,53 (DNS),Enumerates NSEC (Next Secure) records from a DNS server to find zone data.
dns-nsec3-enum,Information Gathering,53 (DNS),Enumerates NSEC3 records from a DNS server to reveal zone data and security weaknesses.
dns-nsid,Information Gathering,53 (DNS),Queries a DNS server to retrieve the NSID (Name Server Identifier).
dns-random-srcport,Information Gathering,53 (DNS),Uses random source ports for DNS queries to evade detection and blocking.
dns-random-txid,Information Gathering,53 (DNS),Uses random transaction IDs for DNS queries to bypass cache poisoning defenses.
dns-recursion,Information Gathering,53 (DNS),"Checks if a DNS server allows recursion, which can be exploited for DNS attacks."
dns-service-discovery,Information Gathering,53 (DNS),Discovers services advertised via DNS Service Discovery (DNS-SD).
dns-srv-enum,Information Gathering,53 (DNS),Enumerates SRV (Service) records in a DNS zone.
dns-update,Information Gathering,53 (DNS),Initiates a DNS update request to modify DNS records.
dns-zeustracker,Information Gathering,53 (DNS),Queries DNS for Zeus botnet-related domain names to track and identify infected systems.
dns-zone-transfer,Information Gathering,53 (DNS),Attempts a DNS zone transfer to gather the entire zone's records.
docker-version,Information Gathering,2375 (Docker),Retrieves version information from a Docker daemon using its remote API.
domcon-brute,Brute Force,5039 (DOMCON),Performs a brute force attack against a DomCon (Desktop Management Console) service.
domcon-cmd,Information Gathering,5039 (DOMCON),Executes a command on a DomCon service to gather information or control remote systems.
domino-enum-users,Information Gathering,1352 (Lotus Domino),Enumerates user accounts from a Lotus Domino server.
dpap-brute,Brute Force,1731 (DPAP),Performs a brute force attack against DPAP (Digital Property Access Protocol) servers.
drda-brute,Brute Force,50000 (DRDA),Brute forces authentication against DRDA (Distributed Relational Database Architecture) servers.
drda-info,Information Gathering,50000 (DRDA),Retrieves information about a DRDA (Distributed Relational Database Architecture) service.
duplicates,Information Gathering,Varies,"Identifies and displays duplicate entries in data, potentially useful for discovery of duplicate records."
eap-info,Information Gathering,1701 (EAP),Retrieves information about the EAP (Extensible Authentication Protocol) configuration.
enip-info,Information Gathering,44818 (Ethernet/IP),Gathers information from an Ethernet/IP (Industrial Protocol) device or server.
epmd-info,Information Gathering,4369 (EPMD),Retrieves information from an Erlang Port Mapper Daemon (EPMD) service.
eppc-enum-processes,Information Gathering,49152 (EPPC),Enumerates processes running on a system through the EPPC (Extensible Protocol for Process Control) protocol.
fcrdns,Information Gathering,53 (DNS),Performs a Forward Confirmed Reverse DNS lookup to validate domain names.
finger,Information Gathering,79 (Finger),Retrieves information about users on a system via the Finger protocol.
fingerprint-strings,Information Gathering,Varies (depends on service),Identifies service types and versions by analyzing the returned banner strings.
firewalk,Network Discovery,"139-445 (NetBIOS, SMB)",Maps out network paths and firewalls by sending specific packets to determine which are open.
firewall-bypass,Exploitation,Varies (depends on firewall),Attempts to bypass firewall restrictions and access a network or service.
flume-master-info,Information Gathering,41414 (Flume),Gathers information about the Flume Master service used for data collection and aggregation.
fox-info,Information Gathering,1950 (Fox),Retrieves information from a Fox Protocol service (used in some industrial systems).
freelancer-info,Information Gathering,Varies,Retrieves information from Freelancer server or application services.
ftp-anon,Brute Force,21 (FTP),Checks for anonymous FTP access by attempting to log in with empty credentials.
ftp-bounce,Exploitation,21 (FTP),Attempts to exploit FTP servers to bounce traffic to other ports or systems.
ftp-brute,Brute Force,21 (FTP),Performs a brute force attack against FTP login credentials.
ftp-libopie,Information Gathering,21 (FTP),"Retrieves information about the FTP server, specifically checking for the LIBOPIE vulnerability."
ftp-proftpd-backdoor,Exploitation,21 (FTP),Exploits a backdoor in ProFTPD (FTP server software) to gain unauthorized access.
ftp-syst,Information Gathering,21 (FTP),Retrieves system information from an FTP server using the SYST command.
ftp-vsftpd-backdoor,Exploitation,21 (FTP),Exploits a backdoor in vsFTPd (FTP server software) to gain unauthorized access.
ftp-vuln-cve2010-4221,Exploitation,21 (FTP),Exploits the vulnerability CVE-2010-4221 in FTP servers (specifically vsFTPd 2.3.4).
ganglia-info,Information Gathering,8649 (Ganglia),"Retrieves information about Ganglia, a monitoring system used for high-performance computing clusters."
giop-info,Information Gathering,6720-6735 (GIOP),"Gathers information from a GIOP (General Inter-ORB Protocol) service, used in CORBA-based applications."
gkrellm-info,Information Gathering,4739 (GKrellM),Retrieves information from a GKrellM (system monitoring tool) server.
gopher-ls,Information Gathering,70 (Gopher),"Lists the contents of a Gopher server, an older protocol used for distributing documents."
gpsd-info,Information Gathering,2947 (GPSD),"Retrieves information from a GPSD (GPS Daemon) server, typically used for GPS data."
hadoop-datanode-info,Information Gathering,50070 (Hadoop),Retrieves information from a Hadoop DataNode.
hadoop-jobtracker-info,Information Gathering,50030 (Hadoop),Retrieves information from a Hadoop JobTracker service.
hadoop-namenode-info,Information Gathering,50070 (Hadoop),Retrieves information from a Hadoop NameNode service.
hadoop-secondary-namenode-info,Information Gathering,50090 (Hadoop),Retrieves information from a Hadoop Secondary NameNode service.
hadoop-tasktracker-info,Information Gathering,50060 (Hadoop),Retrieves information from a Hadoop TaskTracker service.
hbase-master-info,Information Gathering,60010 (HBase),Retrieves information from the HBase Master service.
hbase-region-info,Information Gathering,60030 (HBase),Retrieves information about HBase RegionServer service.
hddtemp-info,Information Gathering,7634 (HDDTemp),Retrieves temperature data from a hard drive via the HDDTemp service.
hnap-info,Information Gathering,80 (HTTP),Gathers information from a HNAP (Home Network Administration Protocol) service.
hostmap-bfk,Information Gathering,Varies,Performs a host mapping based on BFK (Backbone Focused Knowledge) methodology.
hostmap-crtsh,Information Gathering,Varies,Maps hosts by querying CRITs Search (CRTSh) for domain information.
hostmap-robtex,Information Gathering,Varies,Maps hosts by querying Robtex DNS database for domain relationships.
http-adobe-coldfusion-apsa1301,Vulnerability,8500 (ColdFusion),Checks for a ColdFusion vulnerability (APSA1301) in Adobe ColdFusion servers.
http-affiliate-id,Information Gathering,80 (HTTP),Extracts affiliate ID information from URLs or websites.
http-apache-negotiation,Information Gathering,80 (HTTP),Tests for Apache HTTP server negotiation settings.
http-apache-server-status,Information Gathering,80 (HTTP),Retrieves the Apache HTTP server status page.
http-aspnet-debug,Vulnerability,80 (HTTP),Checks for debug information in ASP.NET applications that may reveal sensitive details.
http-auth,Information Gathering,80 (HTTP),Checks for the presence of HTTP authentication on a web server.
http-auth-finder,Information Gathering,80 (HTTP),Identifies HTTP services that are configured for authentication.
http-avaya-ipoffice-users,Information Gathering,80 (HTTP),Extracts user information from an Avaya IP Office server.
http-awstatstotals-exec,Vulnerability,80 (HTTP),Exploits a vulnerability in Awstats that allows remote command execution.
http-axis2-dir-traversal,Vulnerability,80 (HTTP),Exploits a directory traversal vulnerability in Apache Axis2 to gain unauthorized access.
http-backup-finder,Information Gathering,80 (HTTP),Finds backup files on web servers that may contain sensitive data.
http-barracuda-dir-traversal,Vulnerability,80 (HTTP),Exploits a directory traversal vulnerability in Barracuda web servers.
http-bigip-cookie,Information Gathering,80 (HTTP),"Identifies the presence of F5 BIG-IP cookies on a web server, used for session tracking."
http-brute,Brute Force,80 (HTTP),Performs a brute-force attack on web application login forms.
http-cakephp-version,Information Gathering,80 (HTTP),Identifies the version of CakePHP framework used in a web application.
http-chrono,Information Gathering,80 (HTTP),Gathers information from web servers by analyzing timestamp differences.
http-cisco-anyconnect,Information Gathering,80 (HTTP),Retrieves information from Cisco AnyConnect VPN portals.
http-coldfusion-subzero,Vulnerability,8500 (ColdFusion),Exploits the SubZero vulnerability in ColdFusion servers for unauthorized access.
http-comments-displayer,Information Gathering,80 (HTTP),Displays comments or metadata from HTTP responses to gather information about a web server.
http-config-backup,Information Gathering,80 (HTTP),Finds and enumerates configuration backups that may be exposed on a web server.
http-cookie-flags,Information Gathering,80 (HTTP),"Identifies cookie flags (Secure, HttpOnly) in HTTP responses that could indicate security practices."
http-cors,Information Gathering,80 (HTTP),Checks if a web server supports Cross-Origin Resource Sharing (CORS).
http-cross-domain-policy,Information Gathering,80 (HTTP),Identifies if a server exposes a cross-domain policy file (used by Flash and Java).
http-csrf,Vulnerability,80 (HTTP),Identifies Cross-Site Request Forgery (CSRF) vulnerabilities in web applications.
http-date,Information Gathering,80 (HTTP),Extracts the Date header from an HTTP response to gather server time information.
http-default-accounts,Information Gathering,80 (HTTP),Identifies default accounts and credentials in a web application.
http-devframework,Information Gathering,80 (HTTP),Identifies the use of common web development frameworks in a web application.
http-dlink-backdoor,Exploitation,80 (HTTP),Exploits a backdoor in certain D-Link routers to gain unauthorized access.
http-dombased-xss,Vulnerability,80 (HTTP),Tests for DOM-based Cross-Site Scripting (XSS) vulnerabilities in web applications.
http-domino-enum-passwords,Information Gathering,80 (HTTP),Enumerates user passwords from IBM Domino servers.
http-drupal-enum,Information Gathering,80 (HTTP),Enumerates Drupal users and other information from a Drupal server.
http-drupal-enum-users,Information Gathering,80 (HTTP),Enumerates user accounts on a Drupal-based web application.
http-enum,Information Gathering,80 (HTTP),Enumerates directories and files from a web server to gather potential vulnerabilities.
http-errors,Information Gathering,80 (HTTP),Scans for common HTTP error codes that may provide insights into a web application's structure.
http-exif-spider,Information Gathering,80 (HTTP),Spider web applications to extract EXIF metadata from images.
http-favicon,Information Gathering,80 (HTTP),Extracts favicon files from a web server to identify the application or technology used.
http-feed,Information Gathering,80 (HTTP),Extracts RSS or Atom feed information from a web server.
http-fetch,Information Gathering,80 (HTTP),"Fetches data from web servers for analysis, such as headers or responses."
http-fileupload-exploiter,Exploitation,80 (HTTP),Exploits file upload vulnerabilities in web applications to upload malicious files.
http-form-brute,Brute Force,80 (HTTP),Performs a brute-force attack on web application login forms.
http-form-fuzzer,Fuzzing,80 (HTTP),Fuzzes input fields in web forms to identify potential vulnerabilities.
http-frontpage-login,Exploitation,80 (HTTP),Attempts to exploit Microsoft FrontPage extensions on web servers for unauthorized access.
http-generator,Information Gathering,80 (HTTP),Extracts the generator meta tag to identify technologies used on a website.
http-git,Information Gathering,80 (HTTP),Identifies the presence of Git repositories exposed on a web server.
http-gitweb-projects-enum,Information Gathering,80 (HTTP),Enumerates GitWeb projects hosted on a web server.
http-google-malware,Information Gathering,80 (HTTP),Checks for malware-infected Google links or URLs used in web applications.
http-grep,Information Gathering,80 (HTTP),Searches for specific patterns or strings in HTTP responses for further analysis.
http-headers,Information Gathering,80 (HTTP),Extracts HTTP headers from a web server for security and configuration analysis.
http-hp-ilo-info,Information Gathering,80 (HTTP),Retrieves information from an HP Integrated Lights-Out (ILO) server management interface.
http-huawei-hg5xx-vuln,Vulnerability,80 (HTTP),Checks for a vulnerability in Huawei HG5xx devices.
http-icloud-findmyiphone,Exploitation,80 (HTTP),Attempts to exploit the Find My iPhone service for unauthorized access.
http-icloud-sendmsg,Exploitation,80 (HTTP),Attempts to exploit iCloud's SendMessage feature for unauthorized interactions.
http-iis-short-name-brute,Brute Force,80 (HTTP),Performs a brute-force attack on IIS short names to gather valid directories or files.
http-iis-webdav-vuln,Vulnerability,80 (HTTP),Exploits a WebDAV vulnerability in IIS servers to gain unauthorized access.
http-internal-ip-disclosure,Information Gathering,80 (HTTP),Identifies internal IP addresses exposed through web application error messages.
http-joomla-brute,Brute Force,80 (HTTP),Performs a brute-force attack on Joomla CMS login credentials.
http-jsonp-detection,Information Gathering,80 (HTTP),Detects the use of JSONP (JSON with padding) in web applications for potential security risks.
http-litespeed-sourcecode-download,Exploitation,80 (HTTP),Exploits a vulnerability in LiteSpeed servers that allows source code downloads.
http-ls,Information Gathering,80 (HTTP),Lists the directories and files of a web server.
http-majordomo2-dir-traversal,Vulnerability,80 (HTTP),Exploits directory traversal vulnerabilities in Majordomo 2 to access restricted directories.
http-malware-host,Information Gathering,80 (HTTP),Identifies and flags potential malware hosting on a web server.
http-mcmp,Exploitation,80 (HTTP),Exploits a vulnerability in MCMP (Multicast Channel Management Protocol) on web servers.
http-method-tamper,Exploitation,80 (HTTP),Manipulates HTTP methods to bypass restrictions and gain unauthorized access.
http-methods,Information Gathering,80 (HTTP),"Identifies allowed HTTP methods (GET, POST, PUT, etc.) on a web server."
http-mobileversion-checker,Information Gathering,80 (HTTP),Detects mobile versions of websites based on HTTP responses.
http-ntlm-info,Information Gathering,80 (HTTP),Gathers information about NTLM (Windows authentication) configurations on web servers.
http-open-proxy,Vulnerability,80 (HTTP),Identifies open proxy servers exposed on the web.
http-open-redirect,Vulnerability,80 (HTTP),"Tests for open redirects in web applications, which could be used for phishing attacks."
http-passwd,Information Gathering,80 (HTTP),Searches for publicly exposed password files or configurations on web servers.
http-php-version,Information Gathering,80 (HTTP),"Retrieves the PHP version number used by a web server, which can help identify vulnerabilities."
http-phpmyadmin-dir-traversal,Vulnerability,80 (HTTP),Exploits a directory traversal vulnerability in phpMyAdmin to access unauthorized directories.
http-phpself-xss,Vulnerability,80 (HTTP),Detects Cross-Site Scripting (XSS) vulnerabilities in PHP applications.
http-proxy-brute,Brute Force,80 (HTTP),Performs a brute-force attack against HTTP proxy server authentication.
http-put,Exploitation,80 (HTTP),Attempts to use the HTTP PUT method to upload malicious files or gain unauthorized access.
http-qnap-nas-info,Information Gathering,80 (HTTP),Gathers information from a QNAP NAS device.
http-referer-checker,Information Gathering,80 (HTTP),"Analyzes HTTP referers for security issues, such as cross-site request forgery (CSRF) risks."
http-rfi-spider,Exploitation,80 (HTTP),Exploits Remote File Inclusion (RFI) vulnerabilities in web applications.
http-robots.txt,Information Gathering,80 (HTTP),Analyzes the robots.txt file to gather information about restricted or private directories.
http-robtex-reverse-ip,Information Gathering,80 (HTTP),Queries Robtex for reverse IP information on a web server's domain.
http-robtex-shared-ns,Information Gathering,80 (HTTP),Queries Robtex for shared nameserver information related to a web server's domain.
http-sap-netweaver-leak,Vulnerability,80 (HTTP),Exploits a SAP NetWeaver memory leak vulnerability that could allow unauthorized access.
http-security-headers,Information Gathering,80 (HTTP),"Checks for proper HTTP security headers like X-Frame-Options, Content-Security-Policy, etc."
http-server-header,Information Gathering,80 (HTTP),Extracts the server header from HTTP responses to determine the server software used.
http-shellshock,Vulnerability,80 (HTTP),Exploits the Shellshock vulnerability in Bash via a web server to gain unauthorized access.
http-sitemap-generator,Information Gathering,80 (HTTP),"Detects the presence of sitemap.xml files for a website, which might expose sensitive URLs."
http-slowloris,Denial of Service (DoS),80 (HTTP),Launches a Slowloris attack to exhaust server resources and cause a denial of service.
http-slowloris-check,Information Gathering,80 (HTTP),Checks if a web server is vulnerable to a Slowloris denial of service attack.
http-sql-injection,Vulnerability,80 (HTTP),Detects SQL injection vulnerabilities in web applications.
http-stored-xss,Vulnerability,80 (HTTP),Detects stored Cross-Site Scripting (XSS) vulnerabilities in web applications.
http-svn-enum,Information Gathering,80 (HTTP),Enumerates SVN (Subversion) repositories exposed on a web server.
http-svn-info,Information Gathering,80 (HTTP),Gathers information about SVN (Subversion) repository configurations and versions.
http-title,Information Gathering,80 (HTTP),Extracts the title tag from the HTML of a web page to help identify the site.
http-tplink-dir-traversal,Vulnerability,80 (HTTP),Exploits directory traversal vulnerabilities in TP-Link devices to access unauthorized files.
http-trace,Exploitation,80 (HTTP),Sends a TRACE request to the server to check if it responds with sensitive data.
http-traceroute,Information Gathering,80 (HTTP),Determines the path between the attacker and the target server by sending HTTP requests.
http-trane-info,Information Gathering,80 (HTTP),Gathers information from a Trane (HVAC) web server interface.
http-unsafe-output-escaping,Vulnerability,80 (HTTP),Detects unsafe output escaping in web applications that can lead to XSS vulnerabilities.
http-useragent-tester,Information Gathering,80 (HTTP),Tests the web server’s response to various user-agent strings to detect web application vulnerabilities.
http-userdir-enum,Information Gathering,80 (HTTP),Enumerates directories in a web server’s user directory by guessing common usernames.
http-vhosts,Information Gathering,80 (HTTP),Identifies virtual hosts (vhosts) on a web server to determine multiple websites hosted.
http-virustotal,Information Gathering,80 (HTTP),Submits HTTP requests to VirusTotal to check for web malware or potentially harmful files.
http-vlcstreamer-ls,Information Gathering,80 (HTTP),Lists streaming media resources exposed by VLCStreamers on a web server.
http-vmware-path-vuln,Vulnerability,80 (HTTP),Detects VMware path traversal vulnerabilities that may expose sensitive files or configurations.
http-vuln-cve2006-3392,Vulnerability,80 (HTTP),Exploits a vulnerability in Microsoft IIS to gain unauthorized access.
http-vuln-cve2009-3960,Vulnerability,80 (HTTP),Exploits a buffer overflow vulnerability in Microsoft IIS servers (CVE-2009-3960).
http-vuln-cve2010-0738,Vulnerability,80 (HTTP),Exploits a vulnerability in PHP through an insecure deserialization vulnerability (CVE-2010-0738).
http-vuln-cve2010-2861,Vulnerability,80 (HTTP),Exploits a vulnerability in Joomla! related to SQL injection (CVE-2010-2861).
http-vuln-cve2011-3192,Vulnerability,80 (HTTP),Exploits a vulnerability in Adobe ColdFusion to allow remote code execution (CVE-2011-3192).
http-vuln-cve2011-3368,Vulnerability,80 (HTTP),Exploits a vulnerability in Apache Struts that could allow remote code execution (CVE-2011-3368).
http-vuln-cve2012-1823,Vulnerability,80 (HTTP),Exploits a vulnerability in Cisco Adaptive Security Appliances (ASA) (CVE-2012-1823).
http-vuln-cve2013-0156,Vulnerability,80 (HTTP),Exploits a vulnerability in the WordPress plugin that could lead to remote code execution (CVE-2013-0156).
http-vuln-cve2013-6786,Vulnerability,80 (HTTP),Exploits a vulnerability in WordPress (CVE-2013-6786) affecting user authentication.
http-vuln-cve2013-7091,Vulnerability,80 (HTTP),Exploits a vulnerability in certain PHP versions that could allow remote code execution (CVE-2013-7091).
http-vuln-cve2014-2126,Vulnerability,80 (HTTP),Exploits a vulnerability in VMware (CVE-2014-2126) that could allow unauthorized access.
http-vuln-cve2014-2127,Vulnerability,80 (HTTP),Exploits a vulnerability in VMware (CVE-2014-2127) affecting vCenter Server.
http-vuln-cve2014-2128,Vulnerability,80 (HTTP),Exploits a vulnerability in VMware (CVE-2014-2128) affecting ESXi hosts.
http-vuln-cve2014-2129,Vulnerability,80 (HTTP),Exploits a vulnerability in VMware vSphere (CVE-2014-2129).
http-vuln-cve2014-3704,Vulnerability,80 (HTTP),Exploits a vulnerability in Oracle WebLogic Server (CVE-2014-3704).
http-vuln-cve2014-8877,Vulnerability,80 (HTTP),Exploits a vulnerability in Windows Server (CVE-2014-8877) that could allow remote code execution.
